id,english,japanese
1,different,～と違った
2,hobby,趣味
3,enjoy,を楽しむ
4,love,を愛している／愛
5,prefer,～よりを好む
6,hate,を憎む
7,ask,尋ねる
8,consult,を調べる
9,will,…だろう
10,willing,…する気がある
11,marry,結婚する
12,clever,賢い
13,handsome,ハンサムな
14,pretty,かなり
15,ugly,醜い
16,so,だから
17,hard,熱心に
18,firm,断固とした
19,choice,選択
20,money,お金
21,trip,旅行
22,travel,旅行する
23,must,…しなければならない
24,useful,〜役に立つ
25,convenient,都合のよい
26,find,を見つける
27,discover,を発見する
28,buy,買う
29,long,長い
30,cash,現金
31,pay,を支払う
32,income,収入
33,price,(品物の)値段
34,fare,運賃
35,fee,料金
36,charge,料金
37,cost,費用
38,expense,費用
39,cheap,安い
40,expensive,高価な
41,special,特別な
42,unique,独特の
43,remarkable,注目すべき
44,quickly,速く
45,gradually,徐々に
46,suddenly,突然
47,want,が欲しい
48,juice,汁
49,die,死ぬ
50,again,再び，もう一度
51,repeat,繰り返す
52,another,もう1つの
53,then,その時
54,far,遠くへ
55,let,～に…させる
56,sick,病気の
57,ill,病気で
58,pale,青白い
59,cut,を切る
60,happy,うれしい
61,lovely,すてきな
62,explain,説明する
63,illustrate,を説明する
64,demonstrate,を証明する
65,account,～を占める
66,save,を救う
67,rescue,を救う
68,assist,を助ける
69,spare,余分の
70,life,生命(体)
71,thank,に感謝する
72,dear,親愛な
73,help,助ける
74,aid,支援
75,cooperate,協力する
76,volunteer,ボランティア
77,forever,永久に
78,choose,選ぶ
79,select,を選ぶ
80,elect,(投票で)選ぶ
81,vote,投票(する)
82,pick,選ぶ
83,wife,妻
84,husband,夫
85,right,右の
86,wrong,間違った
87,proper,適切な
88,appropriate,適切な
89,excessive,過度の
90,magic,魔法
91,power,権力
92,energy,エネルギー
93,authority,権威
94,move,を移動させる
95,transfer,を移動させる
96,pass,に合格する
97,hurry,急ぐ
98,flow,流れる／流れ
99,stream,小川
100,heart,心臓
101,sour,すっぱい
102,sweet,甘い
103,bitter,厳しい
104,fast,速い
105,rapid,速い
106,surprise,を驚かす
107,report,報告(書)
108,decide,を決める
109,determine,を決定する
110,judge,裁く
111,plastic,プラスチックの
112,straw,ストロー
113,store,店
114,say,(を)言う
115,express,を表現する
116,remark,(短めの)感想
117,start,を始める
118,package,包み
119,recycle,を再利用する
120,company,会社
121,manage,を経営する
122,decision,決定
123,corporation,株式会社
124,department,部門
125,section,部分
126,management,経営(者)
127,movement,動き
128,turtle,ウミガメ
129,catch,をつかむ
130,miss,を逃がす
131,stick,を貼り付ける
132,try,を試みる
133,attempt,を試みる
134,challenge,挑戦
135,struggle,苦闘する
136,pull,引く
137,close,を閉める
138,shake,揺れる
139,head,頭
140,blood,血液
141,finally,とうとう
142,spread,広がる
143,through,を通り抜けて
144,throughout,通して
145,Internet,インターネット
146,sad,悲しい
147,disappoint,を失望させる
148,tragedy,悲劇
149,lot,たくさん
150,pollution,汚染
151,just,ほんの
152,fair,公平な
153,example,(実)例
154,type,型
155,typical,典型的な
156,garbage,ゴミ
157,pollute,を汚染する
158,beach,浜辺
159,rope,縄，ロープ
160,carry,を運ぶ
161,distance,距離
162,disappear,消える
163,extinct,絶滅した
164,appear,現れる
165,naturally,生来
166,kill,を殺す
167,look,見る
168,favorite,お気に入りの
169,result,結果
170,consequence,結果
171,dangerous,危険な
172,safe,安全な
173,security,安全
174,stable,安定した
175,steady,一定の
176,also,…もまた
177,human,人間の
178,break,を壊す
179,fix,を固定する
180,repair,を修理する
181,damage,損害
182,harm,損害
183,piece,1つの～
