id,english,japanese
1,agree,賛成する
2,oppose,～に反対する
3,advise,～に忠告する
4,tip,助言
5,discuss,～について話し合う
6,blame,～に責任があるとする
7,argue,～と主張する
8,claim,～と主張する
9,complain,文句を言う
10,offer,～を申し出る
11,suggest,～を示唆する
12,recommend,～を推薦する
13,grateful,感謝している
14,apologize,謝る
15,excuse,言い訳
16,celebrate,を祝う
17,congratulate,を祝う
18,admire,～を称賛する
19,impress,～に感銘を与える
20,award,賞
21,explain,～を説明する
22,describe,～を説明する
23,communicate,意思の疎通をはかる
24,express,を表現する
25,promise,約束
26,information,情報
27,technology,技術
28,research,研究
29,material,材料
30,artificial,人工的な
31,electric,電気の
32,invent,～を発明する
33,discover,～を発見する
34,develop,発達する
35,skill,技術
36,ability,能力
37,talent,才能
38,effort,努力
39,practice,練習
40,achieve,～を達成する
41,manage,何とかして～する
42,improve,～を改善する
43,produce,～を生産する
44,create,～を創造する
45,establish,～を確立する
46,form,～を形成する
47,save,を省く
48,medicine,薬
49,patient,患者
50,condition,状態
51,medical,医療の
52,stress,ストレス
53,suffer,苦しむ
54,exercise,運動
55,breathe,呼吸する
56,thirsty,のどが渇いた
57,physical,身体的な
58,fever,熱
59,strength,体力
60,tear,涙
61,taste,～の味がする
62,rule,規則
63,role,役割
64,habit,習慣
65,custom,習慣
66,tradition,伝統
67,society,社会
68,law,法律
69,ancestor,祖先
70,population,人口
71,native,母国の
72,abroad,海外へ
73,local,その土地の
74,survey,調査
75,value,価値
76,treasure,財宝
77,fashion,流行
78,public,大衆
79,evidence,証拠
80,vote,投票（数)
81,government,政府
82,nation,国家
83,capital,首都
84,state,州
85,political,政治的な
86,price,価格
87,sum,金額
88,budget,予算
89,fee,料金
90,fare,運賃
91,bill,勘定
92,trade,貿易
93,wealth,富
94,economy,経済
95,cost,を要する
96,company,会社
97,task,仕事
98,earn,を稼ぐ
99,hurt,痛む
100,injure,～を痛める
101,damage,～に損害を与える
102,destroy,～を破壊する
103,ruin,～を台無しにする
104,danger,危険
105,neighbor,近所の人
106,audience,聴衆
107,crowd,群衆
108,author,著者
109,staff,職員
110,clerk,店員
111,customer,客
112,passenger,乗客
113,elderly,年配の
