id,english,japanese
1,class,クラス
2,library,図書館
3,question,質問
4,word,単語
5,science,科学
6,mathematics,数学
7,study,勉強する
8,learn,を知る
9,teach,を教える
10,answer,に答える
11,read,読む
12,write,を書く
13,noon,正午
14,midnight,真夜中
15,time,時間
16,date,日付
17,week,週
18,month,月
19,year,年
20,future,将来
21,begin,を始める
22,start,始まる
23,open,を開ける
24,keep,を持っている
25,life,生活
26,name,名前
27,age,年齢
28,live,生きる
29,die,死ぬ
30,play,遊ぶ
31,enjoy,を楽しむ
32,work,働く
33,try,をやってみる
34,drink,を飲む
35,eat,を食べる
36,have,を持っている
37,different,違った
38,absent,欠席で
39,ready,用意・準備ができて
40,go,行く
41,come,来る
42,bring,を持ってくる
43,send,を送る
44,walk,歩く
45,run,走る
46,fly,飛ぶ
47,fall,落ちる
48,swim,泳ぐ
49,long,長い
50,tall,背の高い
51,low,低い
52,short,短い
53,wear,を着ている
54,make,を作る
55,cook,料理する
56,cut,を切る
57,freeze,凍る
58,wash,を洗う
59,put,を置く
60,stay,とどまる
61,happy,うれしい
62,glad,うれしい
63,sad,悲しい
64,sorry,すまなく思って
65,afraid,恐れて
66,laugh,笑う
67,cry,泣く
68,shout,叫ぶ
69,wish,であればいいと思う
70,promise,約束する
71,let,に〜させる
72,stand,立つ
73,at,で
74,at,に
75,at,に
76,in,の中に
77,in,に
78,in,を着て
79,on,の上に
80,on,に
81,from,から
82,from,から
83,to,に
84,to,まで
85,for,に向かって
86,for,のあいだ
87,for,のために
88,of,の
89,of,のうちの
90,of,から
91,with,といっしょに
92,with,のある
93,with,で
94,along,に沿って
95,across,を横断して
96,across,の向こう側に
97,see,見える
98,look,を見る
99,watch,よく見る
100,hear,が聞こえる
101,listen,を聞く
102,feel,を感じる
103,front,正面
104,side,側
105,back,うしろ
106,top,頂上
107,right,右の
108,left,左の
109,get,を得る
110,take,を取る
111,give,を与える
112,turn,向く
113,change,変わる
114,become,になる
115,many,多くの
116,much,たくさんの
117,few,ほとんどない
118,little,ほとんどない
119,some,いくらかの
120,any,いくらか
121,help,手伝う
